Time,Longitude,Latitude,Altitude,Roll (deg),Pitch (deg),Yaw (deg)
0.0,128.181881,37.923646,7000.146528,0.0,-0.003,0.0
0.0167,128.181881,37.923691,7000.1605488000005,0.0,-0.012,0.0
0.0334,128.181881,37.923736,7000.173960000001,0.0,-0.025,359.999
0.0501,128.181881,37.923781,7000.186152000001,0.0,-0.039,359.999
0.0668,128.181881,37.923826,7000.1977344,0.0,-0.055,359.999
0.0834,128.181881,37.92387,7000.2084024,0.0,-0.07,0.0
0.1002,128.181881,37.923915,7000.218156000001,0.0,-0.085,0.0
0.1169,128.181881,37.92396,7000.226995200001,0.0,-0.098,0.0
0.1336,128.181881,37.924005,7000.234920000001,0.0,-0.11,0.0
0.1503,128.181881,37.92405,7000.2422352,0.0,-0.12,0.0
0.1669,128.181881,37.924095,7000.248636,0.0,-0.128,0.0
0.1837,128.181881,37.92414,7000.254122400001,0.0,-0.134,0.0
0.2004,128.181881,37.924185,7000.2589992,0.0,-0.139,0.0
0.2171,128.181881,37.92423,7000.2626568000005,0.0,-0.141,0.0
0.2338,128.181881,37.924275,7000.2657048,0.0,-0.143,0.0
0.2505,128.181881,37.92432,7000.2681432,0.0,-0.144,0.0
0.2672,128.181881,37.924365,7000.2696672,0.0,-0.144,0.0
0.2839,128.181881,37.92441,7000.2702768,0.0,-0.143,0.0
0.3006,128.181881,37.924455,7000.2702768,0.0,-0.142,0.0
0.3172,128.181881,37.9245,7000.2696672,0.0,-0.142,0.0
0.3339,128.181881,37.924545,7000.2681432,0.001,-0.141,0.0
0.3507,128.181881,37.92459,7000.2657048,0.001,-0.14,0.0
0.3674,128.181881,37.924635,7000.2626568000005,0.001,-0.14,0.0
0.3841,128.181881,37.92468,7000.2589992,0.001,-0.14,0.0
0.4008,128.181881,37.924725,7000.254732,0.001,-0.141,0.0
0.4175,128.181881,37.92477,7000.249550400001,0.001,-0.142,0.0
0.4342,128.181881,37.924815,7000.243759200001,0.001,-0.143,0.0
0.4509,128.181881,37.92486,7000.2370536,0.001,-0.144,0.0
0.4676,128.181881,37.924905,7000.2300432,0.001,-0.146,0.0
0.4843,128.181881,37.92495,7000.2221184,0.002,-0.148,0.0
0.501,128.181881,37.924995,7000.2138888,0.002,-0.15,0.0
0.5176,128.181881,37.92504,7000.2047448,0.002,-0.152,0.0
0.5344,128.181881,37.925085,7000.1949912,0.002,-0.155,0.0
0.5511,128.181881,37.92513,7000.1843232,0.002,-0.157,0.0
0.5678,128.181881,37.925175,7000.1733504,0.002,-0.159,0.0
0.5845,128.181881,37.92522,7000.161768,0.003,-0.161,0.0
0.6012,128.181881,37.925266,7000.149576,0.003,-0.164,0.0
0.6179,128.181881,37.925311,7000.136469600001,0.003,-0.166,0.0
0.6345,128.181881,37.925356,7000.1230584,0.003,-0.168,0.0
0.6513,128.181881,37.925401,7000.109037600001,0.003,-0.17,0.0
0.6679,128.181881,37.925446,7000.0944072,0.004,-0.172,0.0
0.6847,128.181881,37.925491,7000.0791672000005,0.004,-0.174,0.0
0.7014,128.181881,37.925536,7000.0633176,0.004,-0.175,0.0
0.7181,128.181881,37.925581,7000.0468584,0.004,-0.177,0.0
0.7348,128.181881,37.925626,7000.0300944,0.004,-0.179,0.0
0.7514,128.181881,37.925671,7000.012416,0.005,-0.18,0.0
0.7682,128.181881,37.925716,6999.9944328,0.005,-0.182,0.0
0.7848,128.181881,37.925761,6999.97584,0.005,-0.183,0.001
0.8016,128.181881,37.925807,6999.9566376,0.005,-0.185,0.001
0.8183,128.181881,37.925852,6999.9371304,0.006,-0.186,0.001
0.835,128.181881,37.925897,6999.9170136,0.006,-0.188,0.001
0.8517,128.181881,37.925942,6999.8962872,0.006,-0.189,0.001
0.8684,128.181881,37.925987,6999.8749512,0.006,-0.191,0.001
0.8851,128.181881,37.926032,6999.853310400001,0.007,-0.192,0.001
0.9018,128.181881,37.926077,6999.83106,0.007,-0.194,0.001
0.9185,128.181881,37.926122,6999.8082,0.007,-0.196,0.001
0.9352,128.181881,37.926167,6999.7850352000005,0.008,-0.197,0.001
0.9519,128.181881,37.926213,6999.761260800001,0.008,-0.199,0.001
0.9686,128.181881,37.926258,6999.7371816,0.008,-0.2,0.001
0.9853,128.181881,37.926303,6999.712492800001,0.008,-0.202,0.001
1.002,128.181881,37.926348,6999.6874992,0.009,-0.203,0.001
1.0187,128.181881,37.926393,6999.6618960000005,0.009,-0.205,0.001
1.0353,128.181881,37.926438,6999.635988000001,0.009,-0.206,0.001
1.0521,128.181881,37.926484,6999.609470400001,0.01,-0.207,0.001
1.0688,128.181881,37.926529,6999.5823432,0.01,-0.209,0.001
1.0855,128.181881,37.926574,6999.555216,0.01,-0.21,0.001
1.1022,128.181881,37.926619,6999.527174400001,0.011,-0.212,0.001
1.1189,128.181881,37.926664,6999.499132800001,0.011,-0.213,0.001
1.1356,128.181881,37.926709,6999.4704816,0.011,-0.214,0.001
1.1522,128.181881,37.926755,6999.441220799999,0.012,-0.216,0.001
1.169,128.181881,37.9268,6999.4116552000005,0.012,-0.217,0.001
1.1857,128.181881,37.926845,6999.3817848,0.012,-0.218,0.001
1.2024,128.181881,37.92689,6999.3516096,0.013,-0.22,0.001
1.2191,128.181881,37.926935,6999.320824800001,0.013,-0.221,0.001
