Time,Longitude,Latitude,Altitude,Roll (deg),Pitch (deg),Yaw (deg)
0.0,128.181881,37.923646,7000.146528,0.0,-0.003,0.0
0.0167,128.181881,37.923691,7000.1605488000005,0.0,-0.012,0.0
0.0334,128.181881,37.923736,7000.172740800001,0.087,-0.026,0.011
0.0501,128.181881,37.923781,7000.183104000001,0.258,-0.043,0.034
0.0668,128.181881,37.923826,7000.190724000001,0.516,-0.062,0.064
0.0834,128.181881,37.923871,7000.1959056000005,0.864,-0.082,0.097
0.1002,128.181881,37.923916,7000.1980392,1.3,-0.102,0.132
0.1169,128.181881,37.923961,7000.196820000001,1.824,-0.122,0.167
0.1336,128.181881,37.924006,7000.1919431999995,2.433,-0.139,0.201
0.1503,128.181881,37.924051,7000.183104000001,3.123,-0.154,0.235
0.1669,128.181881,37.924096,7000.169692800001,3.891,-0.166,0.267
0.1837,128.181881,37.924141,7000.152928800001,4.734,-0.173,0.299
0.2004,128.181881,37.924186,7000.1325072,5.649,-0.175,0.331
0.2171,128.181881,37.924231,7000.108123200001,6.633,-0.172,0.362
0.2338,128.181881,37.924276,7000.0803864,7.682,-0.163,0.393
0.2505,128.181881,37.924321,7000.048992000001,8.794,-0.147,0.424
0.2672,128.181881,37.924366,7000.014244800001,9.966,-0.125,0.456
0.2839,128.181881,37.924411,6999.9761448,11.195,-0.095,0.489
0.3006,128.181881,37.924457,6999.9353016000005,12.48,-0.059,0.523
0.3172,128.181881,37.924502,6999.891105600001,13.817,-0.016,0.559
0.3339,128.181881,37.924547,6999.8444712,15.204,0.033,0.598
0.3507,128.181881,37.924592,6999.7947888,16.64,0.089,0.639
0.3674,128.181881,37.924637,6999.742972800001,18.122,0.152,0.682
0.3841,128.181881,37.924683,6999.688718400001,19.648,0.22,0.73
0.4008,128.181881,37.924728,6999.6320256,21.218,0.295,0.781
0.4175,128.181881,37.924773,6999.573504,22.828,0.375,0.837
0.4342,128.181881,37.924819,6999.5131536,24.478,0.459,0.897
0.4509,128.181881,37.924864,6999.4512792000005,26.167,0.548,0.962
0.4676,128.181881,37.924909,6999.387576,27.892,0.64,1.033
0.4843,128.181881,37.924954,6999.3229584,29.654,0.736,1.109
0.501,128.181881,37.925,6999.2568168,31.45,0.834,1.191
0.5176,128.181881,37.925045,6999.189760800001,33.28,0.933,1.279
0.5344,128.181881,37.925091,6999.1217904000005,35.143,1.034,1.373
0.5511,128.181881,37.925136,6999.0529056000005,37.039,1.135,1.473
0.5678,128.181881,37.925181,6998.983716,38.966,1.235,1.579
0.5845,128.181881,37.925227,6998.9139168,40.925,1.333,1.691
0.6012,128.181881,37.925272,6998.843508,42.913,1.425,1.806
0.6179,128.181881,37.925318,6998.7727944,44.932,1.51,1.922
0.6345,128.181881,37.925363,6998.7014712,46.981,1.586,2.037
0.6513,128.181882,37.925408,6998.6304528,49.053,1.652,2.15
0.6679,128.181882,37.925454,6998.5591296,51.144,1.706,2.259
0.6847,128.181882,37.925499,6998.488111200001,53.248,1.753,2.367
0.7014,128.181882,37.925545,6998.416788,55.363,1.791,2.472
0.7181,128.181883,37.92559,6998.345464800001,57.488,1.819,2.572
0.7348,128.181883,37.925636,6998.274141600001,59.621,1.836,2.664
0.7514,128.181883,37.925681,6998.2019040000005,61.599,1.845,2.73
0.7682,128.181884,37.925727,6998.1296664,63.426,1.842,2.759
0.7848,128.181884,37.925773,6998.057124000001,65.103,1.819,2.739
0.8016,128.181885,37.925818,6997.9842768,66.634,1.779,2.679
0.8183,128.181885,37.925864,6997.9114296,68.021,1.728,2.594
0.835,128.181886,37.925909,6997.8379728,69.272,1.672,2.495
0.8517,128.181887,37.925955,6997.764516,70.392,1.613,2.388
0.8684,128.181888,37.926,6997.6907544000005,71.387,1.554,2.28
0.8851,128.181888,37.926046,6997.616688000001,72.265,1.497,2.174
0.9018,128.181889,37.926091,6997.542012,73.03,1.444,2.071
0.9185,128.18189,37.926137,6997.4670312,73.687,1.393,1.973
0.9352,128.181891,37.926183,6997.3914408,74.239,1.345,1.881
0.9519,128.181892,37.926228,6997.314936000001,74.699,1.305,1.794
0.9686,128.181893,37.926274,6997.2381264000005,75.086,1.271,1.712
0.9853,128.181895,37.926319,6997.1604024,75.42,1.238,1.637
1.002,128.181896,37.926365,6997.0820688,75.718,1.204,1.568
1.0187,128.181897,37.926411,6997.002516,75.996,1.168,1.506
1.0353,128.181898,37.926456,6996.921744,76.268,1.129,1.45
1.0521,128.1819,37.926502,6996.8397528,76.542,1.087,1.4
1.0688,128.181901,37.926547,6996.7562376000005,76.828,1.043,1.355
1.0855,128.181902,37.926593,6996.6708935999995,77.129,0.998,1.314
1.1022,128.181904,37.926639,6996.5843304,77.447,0.953,1.278
1.1189,128.181905,37.926684,6996.4956336000005,77.782,0.908,1.245
1.1356,128.181907,37.92673,6996.4054128,78.134,0.864,1.215
1.1522,128.181908,37.926776,6996.313668000001,78.502,0.822,1.188
1.169,128.18191,37.926821,6996.2197896,78.887,0.78,1.164
1.1857,128.181911,37.926867,6996.124082400001,79.285,0.739,1.142
1.2024,128.181913,37.926913,6996.0268512,79.697,0.699,1.123
1.2191,128.181914,37.926959,6995.9274864,80.122,0.66,1.105
1.2358,128.181916,37.927004,6995.8262928,80.56,0.622,1.09
