Time,Longitude,Latitude,Altitude,Roll (deg),Pitch (deg),Yaw (deg)
0.0,128.181881,37.968463,7002.830292000001,0.0,-0.003,179.999
0.0167,128.181881,37.968418,7002.8116992000005,0.0,-0.012,180.0
0.0334,128.181881,37.968374,7002.793411200001,-0.087,-0.025,179.988
0.0501,128.181881,37.968329,7002.775428000001,-0.258,-0.041,179.965
0.0668,128.181881,37.968284,7002.7577496,-0.516,-0.059,179.935
0.0834,128.181881,37.968239,7002.7409856,-0.864,-0.076,179.902
0.1002,128.181881,37.968194,7002.725745600001,-1.3,-0.093,179.867
0.1169,128.181881,37.968149,7002.712029599999,-1.824,-0.107,179.832
0.1336,128.181881,37.968104,7002.700447200001,-2.432,-0.119,179.797
0.1503,128.181881,37.968059,7002.6909984,-3.122,-0.126,179.763
0.1669,128.181881,37.968014,7002.684292800001,-3.891,-0.128,179.73
0.1837,128.181881,37.967969,7002.6797208,-4.734,-0.125,179.697
0.2004,128.181881,37.967924,7002.677282400001,-5.649,-0.115,179.665
0.2171,128.181881,37.967879,7002.677282400001,-6.633,-0.098,179.633
0.2338,128.181881,37.967834,7002.6797208,-7.683,-0.074,179.6
0.2505,128.181881,37.967789,7002.684597600001,-8.794,-0.042,179.567
0.2672,128.181881,37.967744,7002.691608,-9.966,-0.002,179.533
0.2839,128.181881,37.967699,7002.7013615999995,-11.194,0.044,179.497
0.3006,128.181881,37.967654,7002.7135536000005,-12.477,0.1,179.46
0.3172,128.181881,37.967609,7002.7281840000005,-13.811,0.164,179.42
0.3339,128.181881,37.967564,7002.7455576,-15.193,0.236,179.378
0.3507,128.181881,37.967519,7002.7656744000005,-16.622,0.315,179.333
0.3674,128.181881,37.967474,7002.7885344,-18.095,0.402,179.284
0.3841,128.181882,37.967429,7002.814442400001,-19.61,0.496,179.231
0.4008,128.181882,37.967384,7002.8430935999995,-21.164,0.597,179.174
0.4175,128.181882,37.967339,7002.874792800001,-22.757,0.703,179.112
0.4342,128.181882,37.967294,7002.909540000001,-24.385,0.815,179.045
0.4509,128.181882,37.967249,7002.9473352,-26.048,0.931,178.972
0.4676,128.181883,37.967204,7002.988483200001,-27.744,1.051,178.894
0.4843,128.181883,37.967159,7003.032984000001,-29.472,1.173,178.81
0.501,128.181883,37.967114,7003.080532800001,-31.23,1.298,178.72
0.5176,128.181884,37.967069,7003.1317392,-33.018,1.424,178.625
0.5344,128.181884,37.967024,7003.1859936,-34.834,1.55,178.523
0.5511,128.181885,37.966979,7003.2439056,-36.678,1.676,178.415
0.5678,128.181885,37.966934,7003.305170400001,-38.548,1.8,178.302
0.5845,128.181886,37.966889,7003.369483200001,-40.445,1.922,178.184
0.6012,128.181887,37.966844,7003.4374536000005,-42.367,2.037,178.063
0.6179,128.181887,37.966799,7003.5081672,-44.314,2.145,177.941
0.6345,128.181888,37.966754,7003.582233600001,-46.285,2.243,177.82
0.6513,128.181889,37.966709,7003.659043199999,-48.281,2.331,177.701
0.6679,128.18189,37.966664,7003.737072,-50.115,2.41,177.605
0.6847,128.181891,37.966619,7003.816624800001,-51.793,2.473,177.543
0.7014,128.181892,37.966574,7003.897092000001,-53.315,2.509,177.523
0.7181,128.181893,37.966529,7003.9784736,-54.681,2.521,177.539
0.7348,128.181894,37.966484,7004.060160000001,-55.893,2.513,177.579
0.7514,128.181895,37.966439,7004.141846400001,-56.964,2.497,177.638
0.7682,128.181896,37.966394,7004.223532800001,-57.899,2.476,177.707
0.7848,128.181897,37.966349,7004.304609600001,-58.699,2.45,177.779
0.8016,128.181899,37.966304,7004.384772,-59.374,2.425,177.855
0.8183,128.1819,37.966259,7004.4637152000005,-59.932,2.403,177.932
0.835,128.181901,37.966214,7004.5414392,-60.375,2.382,178.008
0.8517,128.181903,37.966169,7004.6176392,-60.709,2.364,178.082
0.8684,128.181904,37.966124,7004.6917056,-60.938,2.348,178.155
0.8851,128.181905,37.966079,7004.7642479999995,-61.065,2.334,178.226
0.9018,128.181907,37.966034,7004.834047200001,-61.093,2.321,178.294
0.9185,128.181908,37.965988,7004.9020176,-61.031,2.309,178.358
0.9352,128.181909,37.965943,7004.9672448,-60.894,2.295,178.42
0.9519,128.181911,37.965898,7005.030948,-60.696,2.281,178.478
0.9686,128.181912,37.965853,7005.0925176,-60.446,2.266,178.534
0.9853,128.181913,37.965808,7005.1519536000005,-60.155,2.251,178.587
1.002,128.181915,37.965763,7005.209560800001,-59.827,2.235,178.637
1.0187,128.181916,37.965718,7005.2653392,-59.467,2.219,178.686
1.0353,128.181917,37.965672,7005.3189840000005,-59.077,2.203,178.732
1.0521,128.181919,37.965627,7005.370800000001,-58.66,2.186,178.777
1.0688,128.18192,37.965582,7005.420482400001,-58.216,2.169,178.82
1.0855,128.181922,37.965537,7005.4680312,-57.746,2.152,178.862
1.1022,128.181923,37.965491,7005.5134464,-57.25,2.135,178.903
1.1189,128.181924,37.965446,7005.5567280000005,-56.728,2.118,178.942
1.1356,128.181926,37.965401,7005.597876,-56.179,2.1,178.98
1.1522,128.181927,37.965356,7005.6368904,-55.602,2.083,179.018
1.169,128.181929,37.96531,7005.6734664,-54.996,2.066,179.055
1.1857,128.18193,37.965265,7005.7079088,-54.36,2.048,179.091
1.2024,128.181931,37.96522,7005.739608,-53.694,2.03,179.126
1.2191,128.181933,37.965174,7005.769173600001,-52.995,2.012,179.161
1.2358,128.181934,37.965129,7005.795996000001,-52.263,1.994,179.196
1.2525,128.181936,37.965084,7005.82038,-51.495,1.975,179.23
1.2691,128.181937,37.965038,7005.8423256,-50.691,1.956,179.265
1.2859,128.181938,37.964993,7005.861528,-49.85,1.937,179.299
1.3026,128.18194,37.964947,7005.877682400001,-48.968,1.917,179.332
1.3193,128.181941,37.964902,7005.8913984,-48.046,1.896,179.366
1.3359,128.181943,37.964856,7005.9020664,-47.081,1.875,179.4
1.3527,128.181944,37.964811,7005.9099912,-46.073,1.853,179.434
1.3694,128.181945,37.964765,7005.9145632,-45.018,1.83,179.469
1.386,128.181947,37.96472,7005.916696800001,-43.919,1.806,179.503
1.4028,128.181948,37.964674,7005.9154776000005,-42.775,1.781,179.537
1.4195,128.181949,37.964629,7005.9115152,-41.589,1.754,179.571
1.4362,128.18195,37.964583,7005.904504800001,-40.362,1.726,179.605
1.4528,128.181952,37.964538,7005.8947512,-39.096,1.696,179.639
1.4696,128.181953,37.964492,7005.881949600001,-37.793,1.665,179.672
1.4863,128.181954,37.964447,7005.8664048,-36.453,1.632,179.705
1.5029,128.181956,37.964401,7005.8481168,-35.078,1.597,179.738
1.5197,128.181957,37.964355,7005.8267808,-33.67,1.56,179.77
1.5364,128.181958,37.96431,7005.802396800001,-32.229,1.522,179.802
1.5531,128.181959,37.964264,7005.775269600001,-30.757,1.482,179.833
1.5697,128.181961,37.964218,7005.7453992,-29.255,1.44,179.864
1.5865,128.181962,37.964173,7005.7127856,-27.725,1.396,179.894
1.6032,128.181963,37.964127,7005.677428800001,-26.166,1.35,179.924
1.6198,128.181964,37.964081,7005.639024000001,-24.58,1.303,179.953
1.6366,128.181966,37.964035,7005.597876,-22.968,1.254,179.981
1.6533,128.181967,37.96399,7005.5542896,-21.33,1.203,180.008
1.67,128.181968,37.963944,7005.507655200001,-19.667,1.151,180.034
1.6867,128.181969,37.963898,7005.458277600001,-17.981,1.097,180.059
1.7034,128.181971,37.963852,7005.4064616,-16.271,1.041,180.083
1.7201,128.181972,37.963807,7005.351597600001,-14.539,0.984,180.106
1.7368,128.181973,37.963761,7005.2942952,-12.784,0.925,180.127
1.7535,128.181974,37.963715,7005.2342496,-11.008,0.864,180.148
1.7702,128.181975,37.963669,7005.171460800001,-9.21,0.803,180.166
1.7869,128.181977,37.963623,7005.1062336,-7.392,0.74,180.184
1.8036,128.181978,37.963577,7005.0382632,-5.553,0.675,180.199
1.8203,128.181979,37.963531,7004.9675496,-3.694,0.61,180.213
1.837,128.18198,37.963485,7004.894397600001,-1.816,0.543,180.226
1.8537,128.181981,37.963439,7004.8185023999995,0.08,0.476,180.236
1.8704,128.181983,37.963394,7004.739864,1.997,0.407,180.245
1.8871,128.181984,37.963348,7004.658787200001,3.932,0.338,180.252
1.9038,128.181985,37.963302,7004.5749672,5.885,0.268,180.257
1.9205,128.181986,37.963256,7004.4887088000005,7.857,0.197,180.26
1.9372,128.181987,37.96321,7004.400012,9.847,0.132,180.262
1.9539,128.181988,37.963164,7004.309181600001,11.854,0.077,180.264
1.9706,128.18199,37.963117,7004.215608,13.88,0.039,180.268
1.9873,128.181991,37.963071,7004.1202056,15.922,0.019,180.275
2.004,128.181992,37.963025,7004.022974400001,17.982,0.018,180.287
2.0207,128.181993,37.962979,7003.9236096,20.059,0.036,180.306
2.0374,128.181994,37.962933,7003.8227208,22.152,0.073,180.331
2.0541,128.181995,37.962887,7003.7200032,24.261,0.126,180.365
2.0707,128.181997,37.962841,7003.6163712,26.386,0.195,180.408
2.0875,128.181998,37.962795,7003.511215200001,28.525,0.278,180.46
2.1042,128.181999,37.962749,7003.4051448,30.679,0.371,180.523
2.1208,128.182,37.962702,7003.29816,32.848,0.474,180.596
2.1376,128.182001,37.962656,7003.190565600001,35.031,0.584,180.679
2.1543,128.182002,37.96261,7003.0829712,37.222,0.699,180.773
2.171,128.182003,37.962564,7002.975986400001,39.41,0.818,180.876
2.1877,128.182004,37.962518,7002.869306400001,41.589,0.94,180.988
2.2044,128.182005,37.962471,7002.763236000001,43.751,1.062,181.109
2.2211,128.182006,37.962425,7002.6583848,45.89,1.183,181.238
2.2378,128.182007,37.962379,7002.553838400001,47.862,1.304,181.354
2.2544,128.182008,37.962333,7002.450511200001,49.666,1.411,181.448
2.2712,128.182009,37.962286,7002.3480984,51.309,1.495,181.508
2.2879,128.182009,37.96224,7002.2469048,52.793,1.547,181.525
2.3045,128.18201,37.962194,7002.1466256,54.12,1.558,181.488
2.3213,128.182011,37.962148,7002.047565600001,55.296,1.537,181.41
2.338,128.182011,37.962101,7001.949724800001,56.327,1.495,181.304
2.3546,128.182012,37.962055,7001.8531032,57.221,1.442,181.182
2.3714,128.182012,37.962009,7001.757700800001,57.983,1.384,181.055
2.3881,128.182013,37.961962,7001.6635176,58.622,1.328,180.929
2.4048,128.182013,37.961916,7001.5705536000005,59.144,1.273,180.806
2.4215,128.182013,37.96187,7001.4788088000005,59.553,1.223,180.688
2.4382,128.182014,37.961823,7001.388283200001,59.855,1.177,180.577
2.4549,128.182014,37.961777,7001.298976800001,60.053,1.135,180.473
2.4716,128.182014,37.961731,7001.2105848,60.152,1.097,180.375
2.4882,128.182014,37.961684,7001.123412,60.156,1.063,180.285
2.505,128.182014,37.961638,7001.0368488,60.069,1.032,180.202
2.5217,128.182014,37.961592,7000.9515048,59.894,1.004,180.125
2.5383,128.182013,37.961545,7000.866465600001,59.635,0.978,180.054
2.5551,128.182013,37.961499,7000.7823408,59.295,0.955,179.989
2.5718,128.182013,37.961453,7000.6988255999995,58.879,0.934,179.93
2.5884,128.182012,37.961406,7000.6156152,58.389,0.915,179.875
2.6052,128.182012,37.96136,7000.533319200001,57.829,0.898,179.826
2.6219,128.182012,37.961314,7000.451632800001,57.201,0.882,179.78
2.6386,128.182011,37.961267,7000.370556000001,56.509,0.867,179.739
2.6553,128.182011,37.961221,7000.2900887999995,55.755,0.853,179.701
2.6719,128.18201,37.961174,7000.2099264,54.942,0.84,179.666
