Time,Longitude,Latitude,Altitude,Roll (deg),Pitch (deg),Yaw (deg)
0.0,128.181313,37.914631,4000.0467624000003,0.0,-0.003,0.0
0.0167,128.181313,37.914669,4000.05804,0.0,-0.013,0.0
0.0334,128.181313,37.914706,4000.0665744000003,0.011,-0.014,0.002
0.0501,128.181313,37.914744,4000.0744992,0.034,0.005,0.007
0.0668,128.181313,37.914781,4000.0815096,0.069,0.058,0.014
0.0834,128.181313,37.914819,4000.0882152,0.115,0.158,0.022
0.1002,128.181313,37.914856,4000.0949208,0.171,0.315,0.03
0.1169,128.181313,37.914894,4000.1025408,0.237,0.537,0.038
0.1336,128.181313,37.914931,4000.1116848,0.312,0.833,0.047
0.1503,128.181313,37.914969,4000.1223528000005,0.397,1.205,0.057
0.1669,128.181313,37.915006,4000.1354592000002,0.491,1.643,0.067
0.1837,128.181313,37.915043,4000.1510040000003,0.593,2.138,0.079
0.2004,128.181313,37.915081,4000.1695968,0.705,2.68,0.093
0.2171,128.181313,37.915118,4000.1918472,0.826,3.253,0.108
0.2338,128.181313,37.915156,4000.2183648,0.958,3.847,0.125
0.2505,128.181313,37.915193,4000.2491496000002,1.102,4.447,0.145
0.2672,128.181313,37.915231,4000.2845064000003,1.257,5.042,0.166
0.2839,128.181313,37.915268,4000.3250448,1.426,5.618,0.19
0.3006,128.181313,37.915305,4000.3710696,1.61,6.17,0.215
0.3172,128.181313,37.915343,4000.4228856,1.81,6.698,0.243
0.3339,128.181313,37.91538,4000.4807976,2.029,7.206,0.272
0.3507,128.181313,37.915418,4000.5451104,2.266,7.697,0.304
0.3674,128.181313,37.915455,4000.615824,2.525,8.171,0.337
0.3841,128.181313,37.915492,4000.6932432000003,2.806,8.631,0.374
0.4008,128.181313,37.91553,4000.7776728000003,3.112,9.077,0.413
0.4175,128.181313,37.915567,4000.8688079999997,3.445,9.511,0.454
0.4342,128.181313,37.915604,4000.9672584,3.806,9.934,0.499
0.4509,128.181313,37.915642,4001.0724144000005,4.198,10.345,0.548
0.4676,128.181313,37.915679,4001.1848856,4.624,10.745,0.6
0.4843,128.181313,37.915716,4001.3043672,5.087,11.135,0.656
0.501,128.181313,37.915754,4001.4308592,5.589,11.515,0.717
0.5176,128.181313,37.915791,4001.5640568000003,6.133,11.886,0.782
0.5344,128.181313,37.915828,4001.707008,6.658,12.248,0.845
0.5511,128.181313,37.915865,4001.859408,7.163,12.602,0.904
0.5678,128.181314,37.915903,4002.0221712000002,7.65,12.95,0.962
0.5845,128.181314,37.91594,4002.1965168000006,8.122,13.29,1.022
0.6012,128.181314,37.915977,4002.3827496,8.583,13.624,1.085
0.6179,128.181314,37.916014,4002.5796504000004,9.035,13.952,1.153
0.6345,128.181314,37.916051,4002.7878288,9.484,14.274,1.224
0.6513,128.181315,37.916088,4003.00698,9.933,14.59,1.3
0.6679,128.181315,37.916125,4003.2367992,10.384,14.901,1.381
0.6847,128.181315,37.916162,4003.4775912000005,10.841,15.208,1.466
0.7014,128.181315,37.916199,4003.7290512,11.307,15.509,1.556
0.7181,128.181316,37.916236,4003.991484,11.783,15.806,1.649
0.7348,128.181316,37.916273,4004.2642800000003,12.271,16.099,1.747
0.7514,128.181317,37.91631,4004.5477440000004,12.772,16.388,1.849
0.7682,128.181317,37.916347,4004.8415712000005,13.288,16.672,1.955
0.7848,128.181317,37.916383,4005.1460664,13.819,16.952,2.065
0.8016,128.181318,37.91642,4005.4612296,14.368,17.228,2.178
0.8183,128.181318,37.916457,4005.7864512,14.933,17.5,2.296
0.835,128.181319,37.916494,4006.122036,15.517,17.768,2.418
0.8517,128.18132,37.91653,4006.4676792,16.12,18.032,2.543
0.8684,128.18132,37.916567,4006.8236856,16.741,18.291,2.673
0.8851,128.181321,37.916604,4007.1897504000003,17.383,18.546,2.807
0.9018,128.181322,37.91664,4007.5655688,18.045,18.797,2.946
0.9185,128.181322,37.916677,4007.9514456,18.728,19.043,3.089
0.9352,128.181323,37.916713,4008.3470760000005,19.433,19.286,3.236
0.9519,128.181324,37.91675,4008.7518504000004,20.159,19.523,3.388
0.9686,128.181325,37.916786,4009.1663784000007,20.908,19.757,3.545
0.9853,128.181326,37.916823,4009.5903552000004,21.68,19.986,3.706
1.002,128.181327,37.916859,4010.0231712000004,22.475,20.21,3.872
1.0187,128.181328,37.916895,4010.4651312,23.295,20.429,4.044
1.0353,128.181329,37.916932,4010.9156256000006,24.139,20.644,4.22
1.0521,128.18133,37.916968,4011.3749592000004,25.008,20.854,4.401
1.0688,128.181331,37.917004,4011.8428272,25.902,21.058,4.587
1.0855,128.181332,37.91704,4012.3189248000003,26.822,21.258,4.778
1.1022,128.181333,37.917076,4012.8029472000003,27.768,21.453,4.974
1.1189,128.181335,37.917113,4013.2948944,28.74,21.642,5.176
1.1356,128.181336,37.917149,4013.7944616000004,29.739,21.825,5.383
1.1522,128.181337,37.917185,4014.3019536,30.762,22.003,5.595
1.169,128.181339,37.917221,4014.8170656,31.808,22.175,5.813
1.1857,128.18134,37.917257,4015.3397976,32.874,22.341,6.035
1.2024,128.181342,37.917293,4015.8701496000003,33.957,22.502,6.261
1.2191,128.181344,37.917329,4016.4078168000005,35.056,22.657,6.493
1.2358,128.181345,37.917365,4016.953104,36.167,22.806,6.729
1.2525,128.181347,37.9174,4017.5057064000002,37.289,22.948,6.969
1.2691,128.181349,37.917436,4018.0653192000004,38.421,23.085,7.215
1.2859,128.181351,37.917472,4018.6322472,39.56,23.215,7.464
1.3026,128.181353,37.917508,4019.2058808,40.705,23.338,7.719
1.3193,128.181355,37.917543,4019.7868296,41.856,23.455,7.978
1.3359,128.181357,37.917579,4020.3741792,43.01,23.565,8.241
1.3527,128.181359,37.917615,4020.9682344000003,44.167,23.668,8.509
1.3694,128.181361,37.91765,4021.5689952000002,45.324,23.764,8.782
1.386,128.181364,37.917686,4022.1758520000003,46.481,23.852,9.06
1.4028,128.181366,37.917721,4022.7894144,47.636,23.931,9.344
1.4195,128.181369,37.917757,4023.4087680000002,48.787,24.002,9.633
1.4362,128.181371,37.917792,4024.0342176,49.934,24.064,9.928
1.4528,128.181374,37.917828,4024.6654584000003,51.074,24.116,10.228
1.4696,128.181377,37.917863,4025.3024904,52.208,24.157,10.534
1.4863,128.181379,37.917899,4025.9450088000003,53.334,24.189,10.846
1.5029,128.181382,37.917934,4026.5930136,54.451,24.21,11.164
1.5197,128.181385,37.917969,4027.2462,55.559,24.219,11.487
1.5364,128.181388,37.918004,4027.9045680000004,56.657,24.217,11.816
1.5531,128.181391,37.91804,4028.5681176000003,57.745,24.203,12.15
1.5697,128.181395,37.918075,4029.2362392000005,58.822,24.176,12.489
1.5865,128.181398,37.91811,4029.9092376,59.887,24.138,12.833
1.6032,128.181401,37.918145,4030.5865032000006,60.941,24.086,13.18
1.6198,128.181405,37.91818,4031.2683408000003,61.984,24.022,13.532
1.6366,128.181409,37.918215,4031.9541408,63.014,23.945,13.888
1.6533,128.181412,37.91825,4032.644208,64.033,23.855,14.246
1.67,128.181416,37.918285,4033.3382376,65.04,23.752,14.607
1.6867,128.18142,37.91832,4034.03562,66.035,23.636,14.971
1.7034,128.181424,37.918355,4034.7369648,67.019,23.507,15.336
1.7201,128.181428,37.91839,4035.4413576,67.991,23.365,15.702
1.7368,128.181432,37.918424,4036.1491032000004,68.953,23.21,16.069
1.7535,128.181437,37.918459,4036.8598968,69.904,23.043,16.437
1.7702,128.181441,37.918494,4037.5737384000004,70.845,22.864,16.804
1.7869,128.181445,37.918529,4038.2900184000005,71.776,22.672,17.17
1.8036,128.18145,37.918563,4039.0087368000004,72.698,22.469,17.535
1.8203,128.181455,37.918598,4039.7301984000005,73.611,22.255,17.898
1.837,128.18146,37.918633,4040.4534888000003,74.516,22.029,18.26
1.8537,128.181464,37.918667,4041.1789128,75.414,21.793,18.618
1.8704,128.181469,37.918702,4041.9061656000003,76.305,21.547,18.974
1.8871,128.181475,37.918736,4042.6349424,77.19,21.291,19.327
1.9038,128.18148,37.918771,4043.3652432000004,78.07,21.026,19.675
1.9205,128.181485,37.918805,4044.097068,78.945,20.753,20.02
1.9372,128.181491,37.918839,4044.8298072000002,79.817,20.471,20.36
1.9539,128.181496,37.918874,4045.563156,80.685,20.181,20.696
1.9706,128.181502,37.918908,4046.2974192000006,81.551,19.885,21.027
1.9873,128.181508,37.918942,4047.0322920000003,82.415,19.581,21.352
2.004,128.181513,37.918976,4047.7674696,83.279,19.272,21.672
2.0207,128.181519,37.919011,4048.5026472,84.143,18.957,21.987
2.0374,128.181525,37.919045,4049.2381296000003,85.008,18.638,22.296
2.0541,128.181532,37.919079,4049.9730024,85.874,18.314,22.599
2.0707,128.181538,37.919113,4050.7075704000003,86.742,17.986,22.896
2.0875,128.181544,37.919147,4051.4415288,87.613,17.655,23.187
2.1042,128.181551,37.919181,4052.1745728,88.487,17.321,23.472
2.1208,128.181558,37.919215,4052.9067024,89.366,16.984,23.75
2.1376,128.181564,37.919249,4053.6376128,90.249,16.646,24.022
2.1543,128.181571,37.919283,4054.3669992,91.137,16.306,24.289
2.171,128.181578,37.919317,4055.0948616,92.031,15.965,24.548
2.1877,128.181585,37.919351,4055.8208952,92.93,15.624,24.802
2.2044,128.181593,37.919384,4056.5451000000003,93.836,15.282,25.049
2.2211,128.1816,37.919418,4057.2668664000003,94.748,14.94,25.291
2.2378,128.181607,37.919452,4057.9864992,95.667,14.599,25.526
2.2544,128.181615,37.919486,4058.7033888,96.593,14.259,25.755
2.2712,128.181623,37.919519,4059.4175352000007,97.525,13.919,25.978
2.2879,128.181631,37.919553,4060.1289384,98.465,13.581,26.195
2.3045,128.181638,37.919587,4060.8369888,99.411,13.245,26.407
2.3213,128.181647,37.91962,4061.5416864000003,100.364,12.91,26.613
2.338,128.181655,37.919654,4062.2430312,101.325,12.577,26.813
2.3546,128.181663,37.919687,4062.9407184,102.291,12.246,27.008
2.3714,128.181671,37.919721,4063.6344432,103.264,11.917,27.198
2.3881,128.18168,37.919754,4064.3239008000005,104.243,11.59,27.382
2.4048,128.181688,37.919787,4065.0093960000004,105.228,11.265,27.561
2.4215,128.181697,37.919821,4065.6903192000004,106.217,10.943,27.736
2.4382,128.181706,37.919854,4066.3669752,107.211,10.622,27.905
2.4549,128.181715,37.919887,4067.0384496,108.209,10.304,28.07
2.4716,128.181724,37.919921,4067.705352,109.21,9.989,28.23
2.4882,128.181733,37.919954,4068.3670728,110.214,9.675,28.386
2.505,128.181742,37.919987,4069.0236120000004,111.219,9.364,28.537
2.5217,128.181752,37.92002,4069.6743600000004,112.225,9.055,28.685
2.5383,128.181761,37.920053,4070.3199264,113.231,8.747,28.827
2.5551,128.181771,37.920086,4070.9597016000002,114.237,8.442,28.966
2.5718,128.181781,37.92012,4071.5936856,115.242,8.138,29.101
2.5884,128.18179,37.920153,4072.2212688000004,116.244,7.836,29.232
2.6052,128.1818,37.920186,4072.8430608,117.244,7.535,29.359
2.6219,128.18181,37.920219,4073.4584520000003,118.24,7.236,29.482
2.6386,128.181821,37.920251,4074.0674424,119.232,6.938,29.601
2.6553,128.181831,37.920284,4074.6697272,120.219,6.64,29.716
2.6719,128.181841,37.920317,4075.2653064,121.201,6.344,29.828
2.6887,128.181852,37.92035,4075.8541800000003,122.176,6.048,29.936
2.7054,128.181862,37.920383,4076.4360432000003,123.144,5.752,30.04
2.722,128.181873,37.920416,4077.0108960000002,124.104,5.457,30.14
2.7388,128.181883,37.920448,4077.5787384,125.056,5.162,30.236
2.7555,128.181894,37.920481,4078.1389608,125.999,4.867,30.329
2.7721,128.181905,37.920514,4078.6918680000003,126.933,4.571,30.418
